formula,band_gap,energy_above_hull,formation_energy,volume,density,nsites,spacegroup_number
SnP2Cl8O3,2.8401,0.33739782200000157,-1.3067144831632653,765.2811416672569,2.223131995816043,28,1
SnPCl9,2.4343999999999997,0.0,-1.2845888195129944,609.2518097894184,2.555250708395118,22,2
SnPCl9,2.4857,0.007701793636362808,-1.2768870258766318,658.386627961795,2.364554583034084,22,67
SnP2(Cl5O)2,2.8617,0.35973023956667216,-1.1265983391190484,1673.724811316862,2.2508719330463776,60,58
K2Sn5Cl12,2.4961,0.08333680684210831,-1.515310138921052,1251.3710136837522,2.9118695464679525,38,6
Sn2W3Cl14,0.9094000000000002,0.0,-1.331976574473685,995.0680889980135,4.289678262577457,38,173
Sn21H14(Cl4O5)4,2.9683,0.1348503579225362,-1.314693692852112,1359.0420219770797,4.147257062693311,71,155
Sn(PCl6)4,1.544,0.00987252094827884,-1.1534837653817736,3331.5279305942904,2.1800944155343256,116,26
Ag6Ge(S2Br)2,0.5586,0.014315194935897946,-0.4582034865384602,1211.5370035140072,5.52582672747759,52,62
Ge(BrF5)2,2.9061999999999997,0.0,-1.8124802711538466,386.3967261057457,3.6308014313107435,26,14
Ge2S3Br2,2.452195384834489,0.0,-0.8114880353571426,865.2873816027567,3.0803458520759337,28,2
Ge(BrF5)2,2.5421,0.018008230384616297,-1.7944720407692303,436.37624556595375,3.214954527093956,26,4
TlGeBr3,0.7555999999999998,0.027999737999999663,-0.9987667366666677,171.58750587347944,5.000708819515036,5,8
KGeBr3,0.9083000000000001,0.025231168000005244,-1.3619608534499996,175.64051665487327,3.3226784175339206,5,8
KGeBr3,2.9025999999999996,0.0,-1.3871920214500029,342.7646286889748,3.4052344091969378,10,11
TlGeBr3,2.2565999999999997,0.0,-1.0267664746666676,617.8031051932752,5.5555509302379384,20,62
CsGeBr3,1.1965000000000001,0.0,-1.446721973931036,182.01469342992672,4.062130263633712,5,160
RbGeBr3,1.9851,0.0014731225000010895,-1.4168271675000004,712.8200349732962,3.706940253522407,20,33
CsGeBr3,0.7484000000000002,0.01684547200000175,-1.429876501931036,169.417801492696,4.3641659146402825,5,221
CsGeBr3,1.4434000000000002,0.0006243900000026947,-1.446097583931035,191.7415934285745,3.8560615951235357,5,8
Ge19(AsBr)4,1.4361000000000002,0.0,-0.23290144092592605,1232.3153107188523,5.388532306881375,54,218
Ge19(SbBr)4,1.2943000000000002,0.013946621018519068,-0.1922722364814812,1325.8289227808934,5.477770686919107,54,218
Ge19(PBr)4,1.4055,0.0,-0.24274853920634915,1182.0362671812604,5.123830982417575,54,218
Rb3Ge2Br7,2.8982,0.0014679318750001613,-1.5185467058333335,1794.1358656771035,3.5578063086660485,48,14
RbGeIO6,2.4456,0.0,-1.5202793797222225,147.81778074877755,4.280133140461045,9,149
Ge2S3I2,2.2528,0.0,-0.6459267142857134,1114.1440580589715,2.952718103658719,28,147
CuGeI3,0.6193000000000004,0.25498613166666617,-0.23937677799999973,168.73725911026125,5.086793927628165,5,8
CsGeI3,0.9905000000000002,0.0,-1.0696085939310365,225.06811678964056,4.325382726667633,5,160
TlGeI3,1.9161000000000001,0.016987145333332787,-0.6864664226666679,768.288708546055,5.686391023941137,20,62
RbGeI3,2.1971,0.005060806333334611,-1.0302750964999987,816.7220152541115,4.382072008132971,20,19
RbGeI3,0.5181,0.013385509333331047,-1.021950393500002,206.9055618468492,4.324357752306468,5,221
CsGeI3,1.1901,0.00863977400000282,-1.0609688199310348,234.16603554860086,4.157331110828303,5,8
Ge19(SbI)4,1.1349999999999998,0.02913190197530824,-0.10308873592592617,1368.843500590025,5.761765855059361,54,218
Ge19(PI)4,1.0766000000000004,0.0,-0.14323075772486768,1221.2844799883517,5.470406847165617,54,218
Ge19(AsI)4,1.0131000000000001,0.0018011265432109624,-0.1415466174074077,1272.4822010425748,5.709109166054929,54,218
ThGeI6,2.2704,0.05760341489583798,-1.127779356875,696.1948190501305,5.085670724242474,16,163
Tl4GeI6,1.8363,0.016573329696968564,-0.7756208089393969,888.2207521621083,6.175371049962843,22,128
Zr6GeI14,0.9278,0.0,-1.219898757857143,1585.240452349397,5.0209736631252015,42,64
GeClF,2.5216000000000003,0.3417812995833325,-1.4447384033333333,103.26023964581327,4.08754116901802,6,129
GeClO2F5,1.7275,0.0,-1.8116346916666661,524.4739369670099,2.977199310961033,36,20
GePClO2,2.7117999999999998,0.2954740178843531,-1.4807901419285714,470.28210587024273,2.416090644334512,20,62
Ag6Ge(S2Cl)2,0.6229,0.011007999134613478,-0.5048412063461526,1162.530072856738,5.250825523270187,52,62
